PdEId;PdEVersion;ZdCId;ZdCVersion;ZdAId;ZdAVersion;ArRId;ArRVersion;ArTId;ArTVersion
;;66961;66961;50068;50068-66961;480888;1270773-50068;50208262;1561797-1270773
;;413783;1245776;413782;1245775-1245776;414484;724117-1245775;50208489;1561610-724117
;;74100;756555;422225;756551-756555;422296;1270783-756551;50208289;1561775-1270783
;;74219;74219;413482;591156-74219;413481;1307147-591156;50208408;1561676-1307147
;;419363;720599;419362;720597-720599;422190;1272045-720597;50208484;1561614-1272045
;;72132;1119704;473093;1086512-1119704;8123;1218880-1086512;50124788;1537833-1218880
;;72132;1119704;473093;1086512-1119704;8123;1218880-1086512;50121030;1571258-1218880
;;72132;1119704;473093;1086512-1119704;24305;1527517-1086512;50121029;1571259-1527517
;;72132;1119704;473093;1086512-1119704;24305;1527517-1086512;50124758;1537863-1527517
;;72132;1119704;43069;1119703-1119704;471962;1078324-1119703;50117206;1110826-1078324
;;66321;1119735;473524;1398835-1119735;13592;1398825-1398835;50169681;1515300-1398825
;;66321;1119735;473524;1398835-1119735;13592;1398825-1398835;50202622;1506338-1398825
;;66321;1119735;46897;1119734-1119735;471626;1076965-1119734;50117710;1200643-1076965
;;66321;1119735;46897;1119734-1119735;41165;41165-1119734;50024654;412135-41165
;;66321;1119735;42413;1327141-1119735;13806;1098369-1327141;50116403;1561099-1098369
;;72633;1361079;44681;1361078-1361079;19288;1540408-1361078;50185228;1443829-1540408
;;72633;1361079;44681;1361078-1361079;19288;1540408-1361078;50116331;1354428-1540408
;;73260;1560854;57240;1560853-1560854;27356;1434327-1560853;50122589;1545383-1434327
;;71562;71562;44255;44255-71562;41423;1417160-44255;50179534;1560761-1417160
;;71562;71562;44255;44255-71562;28573;1417166-44255;50179535;1560760-1417166
;;73106;73106;53192;53192-73106;28045;1237915-53192;50122244;1545713-1237915
;;477260;1232777;477259;1182381-1232777;6519;1095544-1182381;50179463;1560769-1095544
;;480550;1462915;45231;1462914-1462915;39472;1353134-1462914;50114257;1546897-1353134
;;69057;69057;52570;52570-69057;479628;1414091-52570;50179178;1407403-1414091
;;69072;1119770;47482;1570783-1119770;41063;1115710-1570783;50024496;412355-1115710
;;69072;1119770;473211;1427100-1119770;10923;1225790-1427100;50179117;1560791-1225790
;;68096;68096;42692;42692-68096;41429;1372547-42692;50142405;1544265-1372547
;;68096;68096;42692;42692-68096;41429;1372547-42692;50178932;1560818-1372547
;;68096;68096;42692;42692-68096;26040;1372552-42692;50116539;1081331-1372552
;;68007;68007;49409;49409-68007;6500;1390927-49409;50178786;1560835-1390927
;;68007;68007;49409;49409-68007;6501;1390930-49409;50178787;1560834-1390930
;;68022;68022;49291;49291-68022;6181;1390804-49291;50179346;1560778-1390804
;;68052;68052;49414;49414-68052;6510;1391156-49414;50178915;1560820-1391156
;;68214;68214;49447;49447-68214;6595;1412629-49447;50179440;1406724-1412629
;;68117;1085498;52397;1085496-1085498;15470;1085495-1085496;50118811;1080141-1085495
;;68117;1085498;52397;1085496-1085498;15471;1085501-1085496;50179024;1560810-1085501
;;68143;68143;42700;42700-68143;472209;1099599-42700;50178939;1560815-1099599
;;68311;1119882;58581;1119881-1119882;41068;1100494-1119881;50024506;412305-1100494
;;68311;1119882;58581;1119881-1119882;471231;1075433-1119881;50118108;1110392-1075433
;;68231;980748;462097;980749-980748;6587;1411047-980749;50178936;1408071-1411047
;;68231;980748;462097;980749-980748;6587;1411047-980749;50179876;1436800-1411047
;;68288;68288;52456;52456-68288;10588;1411245-52456;50178990;1407903-1411245
;;68885;1417523;52708;1417524-1417523;11128;1417527-1417524;50179620;1560748-1417527
;;68824;68824;52735;52735-68824;11177;1224927-52735;50179276;1560781-1224927
;;67528;67528;42769;42769-67528;12631;1379807-42769;50187303;1524219-1379807
;;67528;67528;42769;42769-67528;12631;1379807-42769;50178955;1560814-1379807
;;67528;67528;42769;42769-67528;12632;1379797-42769;50187295;1449166-1379797
;;67528;67528;42769;42769-67528;12632;1379797-42769;50187302;1524220-1379797
;;68864;1494449;44935;1494448-1494449;488444;1492481-1494448;50199457;1492480-1492481
;;68911;68911;52758;52758-68911;11219;1417939-52758;50179737;1560736-1417939
;;68941;1352983;47455;1352982-1352983;10820;1410968-1352982;50179436;1406732-1410968
;;68953;68953;47453;47453-68953;10824;10824-47453;50179611;1406272-10824
;;68953;68953;47453;47453-68953;11147;1417481-47453;50178573;1550026-1417481
;;67783;1350467;47442;1350455-1350467;41467;1410740-1350455;50179193;1407363-1410740
;;67783;1350467;47443;47443-1350467;6279;1410750-47443;50179697;1406024-1410750
;;67866;67866;49333;49333-67866;6273;1417293-49333;50179059;1560805-1417293
;;67866;67866;49333;49333-67866;6272;1440888-49333;50187287;1524224-1440888
;;67882;67882;55663;55663-67882;15153;1320654-55663;50179811;1560718-1320654
;;67971;67971;42372;42372-67971;6230;870378-42372;50187238;1449284-870378
;;67905;1307198;49278;1307197-1307198;427237;1307194-1307197;50179765;1560727-1307194
;;67917;1119609;473275;1376416-1119609;6264;1376409-1376416;50179114;1560792-1376409
;;67917;1119609;47199;1119608-1119609;41047;41047-1119608;50024480;412385-41047
;;67918;67918;49279;49279-67918;478759;1411043-49279;50179858;1560715-1411043
;;67920;1091401;43117;1091052-1091401;472559;1080765-1091052;50116596;1111201-1080765
;;67920;1091401;43117;1091052-1091401;471311;1075731-1091052;50117996;1110437-1075731
;;67920;1091401;473270;1091380-1091401;6173;1430543-1091380;50179107;1560793-1430543
;;67925;67925;49275;49275-67925;6156;1390946-49275;50178790;1560833-1390946
;;479388;1196782;426229;1533106-1196782;30293;1533107-1533106;50014773;1007201-1533107
;;479388;1196782;426229;1533106-1196782;426228;1424394-1533106;50193840;1478139-1424394
;;479388;1196782;426229;1533106-1196782;33753;1424388-1533106;50192114;1476473-1424388
;;479388;1196782;426229;1533106-1196782;6799;1533105-1533106;50179121;1560790-1533105
;;479388;1196782;58883;832086-1196782;482345;1306432-832086;50118096;1075384-1306432
;;421882;1417960;421881;1417959-1417960;424867;1417954-1417959;50187709;1448258-1417954
;;421878;1410782;421877;1410783-1410782;421879;1410785-1410783;50178860;1560827-1410785
;;419201;719205;419200;719204-719205;423741;1417432-719204;50179599;1560753-1417432
;;419201;719205;419200;719204-719205;423739;1417428-719204;50179598;1560754-1417428
;;481111;1278036;58729;58729-1278036;16904;659394-58729;50179746;1560734-659394
;;481111;1278036;58729;58729-1278036;16905;1556583-58729;50118824;1080267-1556583
;;419197;1307206;419196;1307205-1307206;419198;1307202-1307205;50179336;1560780-1307202
;;73097;1119887;43223;1119886-1119887;472958;1082406-1119886;50118917;1111449-1082406
;;73097;1119887;473566;1363518-1119887;426986;1385111-1363518;50144496;1542580-1385111
;;62447;1007613;42921;1413675-1007613;6354;1413662-1413675;50187399;1524198-1413662
;;62447;1007613;42921;1413675-1007613;6354;1413662-1413675;50187365;1449006-1413662
;;62447;1007613;42921;1413675-1007613;6354;1413662-1413675;50179150;1560788-1413662
;;62447;1007613;42921;1413675-1007613;6353;1413661-1413675;50187400;1524197-1413661
;;62447;1007613;42921;1413675-1007613;6353;1413661-1413675;50073783;1181548-1413661
;;73101;73101;42254;42254-73101;36414;1251742-42254;50143235;1543556-1251742
;;73114;73114;43032;43032-73114;413034;1548522-43032;50118192;1075087-1548522
;;73114;73114;43032;43032-73114;41442;1413835-43032;50125558;1537165-1413835
;;73114;73114;43032;43032-73114;41442;1413835-43032;50117565;1077452-1413835
;;62467;62467;49506;49506-62467;6761;1417444-49506;50194108;1490768-1417444
;;61512;995123;56057;56057-995123;15890;1277539-56057;50021730;1458575-1277539
;;63635;63635;42212;42212-63635;20297;1380422-42212;50202513;1506546-1380422
;;63635;63635;42212;42212-63635;20298;1560677-42212;50202514;1506544-1560677
;;63594;63594;473320;1450841-63594;482365;1450839-1450841;50118942;1136685-1450839
;;63594;63594;473431;1532293-63594;20304;1560666-1532293;50177165;1551931-1560666
;;63594;63594;57674;57674-63594;41239;41239-57674;50024741;413065-41239
;;71812;1363962;416486;666462-1363962;416485;1560673-666462;50198668;1558251-1560673
;;72490;1273632;462860;1017192-1273632;19181;19181-1017192;50185023;1444247-19181
;;72490;1273632;43601;1560646-1273632;19313;1273624-1560646;50123385;1539082-1273624
;;72490;1273632;47334;1017198-1273632;22259;1348185-1017198;50144596;1330242-1348185
;;72478;72478;44472;44472-72478;491037;1560617-44472;50198639;1558333-1560617
;;72478;72478;44472;44472-72478;22340;22340-44472;50185263;1443759-22340
;;72083;72083;50750;50750-72083;24326;24326-50750;50124818;1537803-24326
;;72387;1328357;462879;1017500-1328357;420013;1541436-1017500;50146408;1535404-1541436
;;72484;887671;43546;887674-887671;7951;1216878-887674;50198404;1515123-1216878
;;72484;887671;43546;887674-887671;7951;1216878-887674;50006260;1204364-1216878
;;73922;73922;462861;1017199-73922;28964;1541376-1017199;50124531;1538075-1541376
;;73922;73922;58638;1017205-73922;28858;1348658-1017205;50145897;1329924-1348658
;;73922;73922;58638;1017205-73922;28849;1348661-1017205;50145883;1329938-1348661
;;69542;69542;43469;43469-69542;20227;1541369-43469;50141752;1536182-1541369
;;69902;69902;58278;58278-69902;39659;1541346-58278;50145670;1535784-1541346
;;72764;72764;50966;50966-72764;24927;1349095-50966;50124014;1538508-1349095
;;482698;1324024;482690;1324005-1324024;482693;1541306-1324005;50149114;1534766-1541306
;;70397;70397;52118;52118-70397;37886;37886-52118;50184040;1421037-37886
415732;657753;73845;1016201;58588;1239110-1016201;490823;1541271-1239110;50149712;1534522-1541271
415732;657753;412553;1016197;46267;1239115-1016197;5025;1277192-1239115;50149006;1534780-1277192
415732;657753;412553;1016197;490822;1541267-1016197;10222;1239113-1541267;50065779;1172363-1239113
;;69846;1239536;44694;1085493-1239536;411261;1365011-1085493;50118338;1382316-1365011
;;72732;72732;51762;51762-72732;490819;1541170-51762;50124109;1538428-1541170
;;72732;72732;51762;51762-72732;20531;1369062-51762;50185178;1467597-1369062
;;69921;69921;56384;56384-69921;37026;37026-56384;50125410;1537304-37026
;;483397;1364666;46378;46378-1364666;30142;1541119-46378;50149264;1534684-1541119
;;74091;74091;58977;58977-74091;40428;1541092-58977;50146264;1535471-1541092
;;425212;825454;425211;825452-825454;425210;1540976-825452;50146520;1535351-1540976
;;70959;70959;50584;50584-70959;490809;1540936-50584;50124092;1538444-1540936
;;70830;1458484;50951;1458483-1458484;8257;1458497-1458483;50142747;1543960-1458497
;;72702;72702;50549;50549-72702;25564;1371641-50549;50147197;1542072-1371641
;;72702;72702;50549;50549-72702;7967;1540845-50549;50123878;1538623-1540845
;;69710;69710;44468;44468-69710;29045;1392526-44468;50175342;1392133-1392526
;;69710;69710;44468;44468-69710;29046;1392518-44468;50125963;1536840-1392518
;;482432;1306198;45247;45247-1306198;36980;1304553-45247;50122748;1571003-1304553
;;482432;1306198;45247;45247-1306198;36668;1304556-45247;50145370;1535975-1304556
;;73357;73357;42954;42954-73357;7947;1333836-42954;50005553;1139663-1333836
;;73400;73400;47342;47342-73400;22602;1001958-47342;50123822;1538678-1001958
;;73410;1366352;43435;1366351-1366352;13073;1366340-1366351;50123803;1538695-1366340
;;73798;73798;473485;1097405-73798;488333;1490681-1097405;50198913;1490680-1490681
;;72421;1092576;473350;1490088-1092576;29317;1325574-1490088;50123196;1544817-1325574
;;72421;1092576;43176;1092575-1092576;471103;1074937-1092575;50118174;1200581-1074937
;;477223;1140280;477222;1140274-1140280;36587;1251755-1140274;50125744;1536998-1251755
;;70023;1432554;42500;42500-1432554;21807;1370156-42500;50004130;1460975-1370156
;;72761;1323472;49723;1323471-1323472;427833;1238618-1323471;50146641;1535266-1238618
;;72761;1323472;49723;1323471-1323472;427835;914686-1323471;50146644;1535264-914686
;;72783;72783;49715;49715-72783;38683;1320397-49715;50197296;1474495-1320397
;;70242;684535;57448;57448-684535;37275;1249652-57448;50092571;1245219-1249652
;;70242;684535;57448;57448-684535;26793;1249656-57448;50092570;1245220-1249656
;;69657;1251270;50786;1251269-1251270;26930;1250917-1251269;50110379;1245154-1250917
;;69656;1239453;42985;1452740-1239453;8157;1452739-1452740;50125040;1537633-1452739
;;69863;69863;42970;42970-69863;21781;1377402-42970;50144139;1542861-1377402
;;65286;1273064;42993;1273063-1273064;22271;1273059-1273063;50017993;1458729-1273059
;;65296;65296;42208;42208-65296;38424;1372732-42208;50125746;1536996-1372732
;;65296;65296;42208;42208-65296;28495;1372744-42208;50143404;1269448-1372744
;;424911;810617;51971;411230-810617;26593;1287639-411230;50166536;1314954-1287639
;;424911;810617;51971;411230-810617;26593;1287639-411230;50197257;1474599-1287639
;;65372;65372;45079;45079-65372;22276;1257483-45079;50018048;1458720-1257483
;;65372;65372;45079;45079-65372;22276;1257483-45079;50196969;1475318-1257483
;;65372;65372;45079;45079-65372;487922;1481131-45079;50196968;1484537-1481131
;;65318;1300886;42138;42138-1300886;22274;1300887-42138;50145966;1535658-1300887
;;65407;65407;42438;42438-65407;38464;1253477-42438;50125762;1536981-1253477
;;65407;65407;42438;42438-65407;419657;1335701-42438;50125749;1536994-1335701
;;65535;65535;43431;43431-65535;38605;1331903-43431;50196839;1523641-1331903
;;483874;1453800;473571;1453799-1453800;411303;1540686-1453799;50125011;1537642-1540686
;;483874;1453800;473571;1453799-1453800;411303;1540686-1453799;50118692;1454569-1540686
;;72248;72248;46319;46319-72248;413177;546779-46319;50145979;1339305-546779
;;71277;1337990;44214;1337991-1337990;37525;1337987-1337991;50122014;1545907-1337987
;;70399;1328529;52362;1328530-1328529;27451;1328531-1328530;50145212;1536099-1328531
;;70399;1328529;52362;1328530-1328529;27453;1328534-1328530;50145209;1536101-1328534
;;463630;1486590;463629;1486061-1486590;463628;1540100-1486061;50146992;1535166-1540100
;;73004;73004;44841;44841-73004;27862;27862-44841;50125592;1537132-27862
;;71968;71968;51078;51078-71968;36439;1369224-51078;50143803;1543126-1369224
;;71968;71968;51078;51078-71968;37675;37675-51078;50146004;1535636-37675
;;69762;1328319;462782;1017101-1328319;35947;1251214-1017101;50126057;1268584-1251214
;;68051;68051;58292;58292-68051;463371;1320331-58292;50120421;1175338-1320331
;;68051;68051;58292;58292-68051;463372;1540840-58292;50125677;1537059-1540840
;;68051;68051;58292;58292-68051;463372;1540840-58292;50178385;1409445-1540840
;;68051;68051;58292;58292-68051;463372;1540840-58292;50120422;1175343-1540840
;;70169;1239422;46376;1382190-1239422;23203;1382187-1382190;50123276;1539188-1382187
;;70169;1239422;479022;1524027-1239422;478997;1239419-1524027;50162943;1239411-1239419
;;70198;1239438;50717;1353480-1239438;26696;1353483-1353480;50125026;1383465-1353483
;;70198;1239438;479030;1524029-1239438;478976;1239432-1524029;50162945;1239423-1239432
;;70149;70149;462849;1017063-70149;42026;1332427-1017063;50146227;1535499-1332427
;;70149;70149;462849;1017063-70149;37209;814779-1017063;50145551;1535867-814779
;;63329;63329;42361;42361-63329;29340;1540775-42361;50145481;1535910-1540775
;;63329;63329;59355;59355-63329;12647;1376526-59355;50175348;1392121-1376526
;;70766;1361173;43508;1361172-1361173;21195;1540765-1361172;50172190;1360764-1540765
;;70471;1434259;45885;45885-1434259;25270;1434253-45885;50145228;1536084-1434253
;;70785;70785;43253;43253-70785;34368;1540746-43253;50172204;1371800-1540746
;;63283;1318668;44560;860006-1318668;11515;1540737-860006;50184229;1433869-1540737
;;74014;74014;47632;47632-74014;486380;1540711-47632;50149519;1569479-1540711
;;71177;1277716;463569;1277717-1277716;463571;1396877-1277717;50147035;1569685-1396877
;;70441;1361888;483278;1370656-1361888;483313;1370678-1370656;50149209;1361964-1370678
;;73149;1182802;460395;931449-1182802;460394;1250791-931449;50146655;1498782-1250791
;;70362;1037803;462829;1454447-1037803;426558;1540674-1454447;50146584;1535312-1540674
;;70362;1037803;462829;1454447-1037803;21045;1370170-1454447;50125306;1500318-1370170
;;70362;1037803;59221;1016872-1037803;41952;1348735-1016872;50146303;1329783-1348735
;;70362;1037803;486655;1454446-1037803;486654;1454439-1454446;50183981;1453419-1454439
;;71586;71586;45244;45244-71586;30113;1540644-45244;50146592;1535306-1540644
;;71586;71586;45244;45244-71586;25378;1245519-45244;50141426;1536461-1245519
;;70469;965596;44056;44056-965596;42036;1327968-44056;50146348;1535438-1327968
;;70469;965596;44056;44056-965596;21820;1327965-44056;50125304;1537401-1327965
;;71336;1353722;45168;1353721-1353722;24809;1540621-1353721;50114798;1539280-1540621
;;72111;72111;50736;50736-72111;8118;1410485-50736;50142936;1550809-1410485
;;412569;480426;412369;474876-480426;23265;23265-474876;50141709;1536225-23265
;;412569;480426;412369;474876-480426;23264;1540592-474876;50141697;1536237-1540592
415732;657753;74162;1498069;44951;44951-1498069;14648;1540561-44951;50185388;1443509-1540561
;;72316;72316;57086;57086-72316;23709;1328820-57086;50126231;1536643-1328820
;;71320;71320;45100;1034564-71320;22198;1460117-1034564;50027068;1257588-1460117
;;63245;1320648;52095;1320647-1320648;9926;1320646-1320647;50202937;1505726-1320646
;;63245;1320648;52095;1320647-1320648;9926;1320646-1320647;50145430;1535944-1320646
;;72542;72542;44589;44589-72542;37487;1540536-44589;50123404;1539065-1540536
;;73207;73207;44446;44446-73207;8231;1540306-44446;50125634;1537095-1540306
;;73207;73207;44446;44446-73207;15621;15621-44446;50147582;1261276-15621
;;71023;1362619;483370;1362614-1362619;483369;1540521-1362614;50149214;1534717-1540521
;;71023;1362619;483370;1362614-1362619;483368;1362620-1362614;50149215;1534716-1362620
;;73136;73136;50373;50373-73136;36257;1377411-50373;50141962;1544657-1377411
;;72215;72215;50461;50461-72215;7865;1369832-50461;50141993;1544634-1369832
;;70861;70861;50502;50502-70861;28768;1432490-50502;50123694;1538801-1432490
;;70099;657776;42642;1016909-657776;2340;1348802-1016909;50146308;1329778-1348802
;;73272;1353258;57387;57387-1353258;19327;921960-57387;50110698;1460390-921960
;;68210;886798;50933;886797-886798;15398;1540474-886797;50125790;1536953-1540474
;;68210;886798;50933;886797-886798;15398;1540474-886797;50019419;1234903-1540474
;;68210;886798;50933;886797-886798;15399;1272620-886797;50125808;1536935-1272620
;;72417;1232997;42896;1232943-1232997;18949;1540470-1232943;50126197;1536676-1540470
;;63323;63323;42386;42386-63323;11541;1318441-42386;50144219;1542806-1318441
;;70080;70080;50826;50826-70080;37025;1376716-50826;50125338;1537369-1376716
;;72472;72472;58867;1462943-72472;26914;1540401-1462943;50123381;1539086-1540401
;;72472;72472;58867;1462943-72472;26906;1462942-1462943;50123494;1538984-1462942
;;416744;669723;462838;1016944-669723;42004;1303313-1016944;50146229;1329796-1303313
;;416744;669723;462838;1016944-669723;42011;1377296-1016944;50177584;1506628-1377296
;;70791;70791;50610;50610-70791;29035;1540375-50610;50124257;1538293-1540375
;;63300;1376709;59347;59347-1376709;29041;1376698-59347;50142973;1543781-1376698
;;63300;1376709;59347;59347-1376709;29040;1540370-59347;50146130;1535554-1540370
;;73636;1347999;44600;1348000-1347999;463072;1450788-1348000;50026459;1257911-1450788
;;73636;1347999;44600;1348000-1347999;463091;1348002-1348000;50026094;1258117-1348002
;;72139;72139;42609;42609-72139;23534;23534-42609;50124494;1538101-23534
;;71818;71818;50207;50207-71818;29458;29458-50207;50122879;1545113-29458
;;71818;71818;50207;50207-71818;36972;794103-50207;50122915;1545078-794103
;;70491;70491;42752;42752-70491;37125;1337739-42752;50114784;1539294-1337739
;;70281;70281;42965;42965-70281;27800;1008232-42965;50145770;1535711-1008232
;;413442;836326;42220;42220-836326;472851;1540316-42220;50116147;1081965-1540316
;;413442;836326;42220;42220-836326;472851;1540316-42220;50126188;1536683-1540316
;;73040;1432372;51653;51653-1432372;37291;1432363-51653;50125593;1537131-1432363
;;70814;70814;44965;44965-70814;36894;36894-44965;50145246;1536071-36894
;;65075;65075;43685;43685-65075;27435;1358928-43685;50123611;1538875-1358928
;;65075;65075;43685;43685-65075;27435;1358928-43685;50171558;1372154-1358928
;;69619;1337620;46039;1337619-1337620;19912;1540235-1337619;50175468;1391853-1540235
;;72721;72721;50545;50545-72721;36532;1366001-50545;50123891;1538618-1366001
;;72721;72721;50545;50545-72721;37169;1365995-50545;50124005;1538515-1365995
;;65356;65356;50964;50964-65356;28181;1540232-50964;50125774;1536969-1540232
;;70708;70708;44271;44271-70708;425662;1540223-44271;50141600;1536317-1540223
;;412568;480415;45715;45715-480415;39596;1540206-45715;50124986;1537667-1540206
;;71099;1353590;45349;1353589-1353590;29969;1347121-1353589;50144039;1569711-1347121
;;63260;63260;43287;43287-63260;40342;1540179-43287;50126240;1536634-1540179
;;62809;62809;57545;57545-62809;28815;1540175-57545;50098393;1275117-1540175
;;62809;62809;57545;57545-62809;28815;1540175-57545;50125488;1537229-1540175
;;70186;70186;462917;1017739-70186;37210;1348845-1017739;50142249;1544416-1348845
;;70186;70186;462917;1017739-70186;23149;23149-1017739;50142252;1544413-23149
;;70186;70186;44838;1017747-70186;41858;1348839-1017747;50146306;1329780-1348839
;;69986;729040;42841;42841-729040;37223;1384905-42841;50142119;1544534-1384905
;;72157;72157;50663;50663-72157;30139;1434494-50663;50124462;1538127-1434494
;;71057;71057;45266;45266-71057;464007;1540106-45266;50147153;1535039-1540106
;;71057;71057;45266;45266-71057;22961;1304304-45266;50114185;1546963-1304304
;;415648;654908;58522;58522-654908;24850;1351733-58522;50146051;1535600-1351733
;;71614;71614;42824;42824-71614;488110;1488091-42824;50198830;1488916-1488091
;;71614;71614;45229;1035221-71614;463169;1328281-1035221;50026838;1257707-1328281
;;69979;69979;51020;51020-69979;28597;1539820-51020;50125944;1536853-1539820
;;69792;1364872;44272;1187669-1364872;23267;1540059-1187669;50125186;1537514-1540059
;;71216;71216;473741;1102507-71216;22748;1540017-1102507;50114629;1569773-1540017
;;463652;1030599;463651;1030597-1030599;463650;1540005-1030597;50146957;1535197-1540005
;;63889;63889;43452;43452-63889;477506;1421628-43452;50194982;1495697-1421628
;;63889;63889;43452;43452-63889;4347;1539981-43452;50194983;1495696-1539981
;;72091;72091;51014;51014-72091;25948;1539969-51014;50141490;1536403-1539969
;;485810;1432454;47631;47631-1432454;29500;1539959-47631;50124479;1538114-1539959
;;70684;70684;44250;44250-70684;30067;30067-44250;50124628;1537987-30067
;;70684;70684;44250;44250-70684;37269;37269-44250;50124579;1538030-37269
;;70684;70684;44250;44250-70684;36082;1539953-44250;50124582;1538028-1539953
;;71400;1183231;45070;45070-1183231;39363;1385039-45070;50143647;1543255-1385039
;;71400;1183231;46589;46589-1183231;39445;1539947-46589;50123713;1538783-1539947
;;73283;73283;46535;46535-73283;417939;1336018-46535;50125651;1537083-1336018
;;73283;73283;46535;46535-73283;489168;1506593-46535;50209229;1506592-1506593
;;71103;71103;45385;45385-71103;39319;1238173-45385;50114617;1539445-1238173
;;71103;71103;45385;45385-71103;8446;1539869-45385;50114598;1539464-1539869
;;73633;655244;44909;1348042-655244;21920;1348043-1348042;50026195;1258057-1348043
;;73633;655244;44909;1348042-655244;22159;1348045-1348042;50026184;1258063-1348045
;;71403;71403;45056;45056-71403;22106;1021159-45056;50026089;1258121-1021159
;;71403;71403;45056;45056-71403;462987;1021151-45056;50026282;1258012-1021151
;;71403;71403;45056;45056-71403;462988;1021166-45056;50026622;1257821-1021166
;;71423;71423;473771;1102919-71423;463942;1037117-1102919;50147546;1534903-1037117
;;71423;71423;45508;45508-71423;463070;1022794-45508;50026101;1258112-1022794
;;71638;71638;45211;45211-71638;29426;1539848-45211;50114444;1539603-1539848
;;71638;71638;45211;45211-71638;29448;1339031-45211;50114437;1539610-1339031
;;71610;71610;45227;45227-71610;25304;1316146-45227;50114446;1539601-1316146
;;73641;897922;43905;43905-897922;26787;1323254-43905;50114392;1563840-1323254
;;71666;1339042;43895;43895-1339042;39722;39722-43895;50114143;1261264-39722
;;71666;1339042;58735;58735-1339042;39397;1382297-58735;50114453;1539595-1382297
;;71367;71367;473755;1102703-71367;28254;28254-1102703;50114780;1539298-28254
;;72235;72235;50677;50677-72235;8076;1539810-50677;50124550;1538057-1539810
;;71508;71508;50636;50636-71508;23507;23507-50636;50121781;1546100-23507
;;71799;71799;473454;1096960-71799;24859;1250991-1096960;50117520;1077352-1250991
;;71799;71799;473454;1096960-71799;24859;1250991-1096960;50178567;1452167-1250991
;;71799;71799;473454;1096960-71799;471489;1096878-1096960;50117824;1076424-1096878
;;71799;71799;473454;1096960-71799;471489;1096878-1096960;50178566;1452171-1096878
;;71799;71799;473453;1096889-71799;24419;1216527-1096889;50145943;1329883-1216527
;;71799;71799;473453;1096889-71799;24414;1348583-1096889;50145915;1329911-1348583
;;480726;1239093;473691;1101800-1239093;480173;1352140-1101800;50147676;1534839-1352140
;;480726;1239093;473691;1101800-1239093;25771;1347575-1101800;50121731;1546142-1347575
;;480726;1239093;473691;1101800-1239093;25770;1351551-1101800;50121730;1546143-1351551
;;70779;70779;52371;52371-70779;24762;1539765-52371;50145250;1536067-1539765
;;72092;655134;43278;43278-655134;27113;1327801-43278;50121389;1546447-1327801
;;73099;73099;57508;57508-73099;25624;958146-57508;50141468;1536424-958146
;;62724;62724;51043;51043-62724;8305;1539753-51043;50126138;1536732-1539753
;;68102;68102;58351;58351-68102;35855;1369975-58351;50125733;1537008-1369975
;;72639;972181;46154;46154-972181;37645;1539744-46154;50123848;1538653-1539744
;;72639;972181;43477;43477-972181;8340;1252869-43477;50142896;1543849-1252869
;;71225;71225;43415;43415-71225;8444;1539726-43415;50114584;1569775-1539726
;;71225;71225;43415;43415-71225;9103;9103-43415;50114630;1501038-9103
;;71091;71091;473762;1102795-71091;463938;1037150-1102795;50147122;1535064-1037150
;;490805;1534399;490804;1534393-1534399;490738;1532883-1534393;50199030;1532882-1532883
;;490805;1534399;490804;1534393-1534399;490739;1532887-1534393;50199029;1532886-1532887
;;486959;1461551;486958;1555768-1461551;486957;1461548-1555768;50120970;1506614-1461548
;;60608;60608;48550;48550-60608;29150;29150-48550;50206020;1503368-29150
;;64287;1307269;46862;46862-1307269;5620;5620-46862;50201127;1509361-5620
;;64287;1307269;46862;46862-1307269;5619;1307266-46862;50201126;1509363-1307266
;;73667;73667;51613;51613-73667;463210;1024913-51613;50026635;1257811-1024913
;;73427;1245567;57369;1561908-1245567;427659;1439512-1561908;50110684;1433407-1439512
;;60711;1320544;45753;1560575-1320544;487107;1465120-1560575;50195641;1465353-1465120
;;60711;1320544;45753;1560575-1320544;487106;1465116-1560575;50195640;1465352-1465116
;;63223;796842;48700;796843-796842;4584;1304013-796843;50201868;1507131-1304013
;;62263;1232976;51851;1232953-1232976;425517;830909-1232953;50194175;1477487-830909
;;60566;880949;45751;880948-880949;3860;3860-880948;50205583;1504542-3860
;;62871;62871;54867;54867-62871;31898;1488168-54867;50201569;1508047-1488168
;;64063;64063;49146;49146-64063;29133;29133-49146;50201537;1508137-29133
;;63990;63990;48599;48599-63990;4253;4253-48599;50195277;1472838-4253
;;62798;859949;48795;48795-859949;4840;837782-48795;50200527;1511173-837782
;;62798;859949;48718;48718-859949;4630;859937-48718;50201431;1508477-859937
;;62798;859949;53398;53398-859949;12837;837939-53398;50201426;1522074-837939
;;63365;1307120;58648;1307119-1307120;25917;1303732-1307119;50201162;1509257-1303732
;;411391;1106590;411390;1106591-1106590;411389;1106592-1106591;50024536;412397-1106592
;;474331;1115091;44030;44030-1115091;31877;1250730-44030;50201003;1509751-1250730
;;73683;1450332;43861;1450331-1450332;10277;1427920-1450331;50205399;1505014-1427920
;;60471;60471;43762;43762-60471;19799;782852-43762;50205664;1504328-782852
;;63455;63455;56725;56725-63455;17549;17549-56725;50200759;1510471-17549
;;63437;893839;43500;859900-893839;424201;792670-859900;50200914;1509997-792670
;;63437;893839;43500;859900-893839;4566;931421-859900;50186266;1447072-931421
;;68546;68546;47304;47304-68546;16744;16744-47304;50023966;1171553-16744
